resource_id	resource_type	name	description	eligibility_criteria	location	services_offered	contact_information	keywords	organization_types
res_018	Credit Union	Credit Union Resource 18	Provides credit union services for individuals and businesses.	Individuals	Manikonda, Hyderabad	Savings Accounts, Personal Loans, Auto Loans	Phone: (526) 983-4340, Website: www.example18.com	investment, retirement, planning, budgeting, loans	Small Businesses
res_019	Bank	Bank Resource 19	Provides bank services for individuals and businesses.	Individuals and businesses	Online	Checking Accounts, Savings Accounts, Loans, Mortgages, Credit Cards	Phone: (361) 514-5114, Website: www.example19.com	retirement, investment, budgeting, loans, savings	
res_020	Loan Provider	Loan Provider Resource 20	Provides loan provider services for individuals and businesses.	Women	Manikonda, Hyderabad	Secured Loans, Asset-Based Financing	Phone: (197) 351-8704, Website: www.example20.com	investment, planning, savings, business banking, credit cards	
res_021	Financial Workshop	Financial Workshop Resource 21	Provides financial workshop services for individuals and businesses.	Small businesses	Secunderabad	Business Finance, Cash Flow Management, Access to Capital	Phone: (136) 541-1843, Website: www.example21.com	investment, business banking, loans, credit cards, savings	Small Businesses
res_022	Bank	Bank Resource 22	Provides bank services for individuals and businesses.	Small businesses	Hyderabad	Checking Accounts, Savings Accounts, Loans, Mortgages, Credit Cards	Phone: (901) 278-8491, Website: www.example22.com	savings, retirement, business banking, loans, investment	Startups
res_023	Financial Workshop	Financial Workshop Resource 23	Provides financial workshop services for individuals and businesses.	Small businesses	Manikonda, Hyderabad	Business Finance, Cash Flow Management, Access to Capital	Phone: (776) 206-8862, Website: www.example23.com	budgeting, savings, retirement, loans, investment	Technology Companies
res_024	Bank	Bank Resource 24	Provides bank services for individuals and businesses.	Individuals	Hyderabad	Savings Accounts, Business Loans, Mortgages, Wealth Management	Phone: (820) 977-8773, Website: www.example24.com	savings, loans, budgeting, retirement, credit cards	Women
res_025	Financial Workshop	Financial Workshop Resource 25	Provides financial workshop services for individuals and businesses.	Individuals	Manikonda, Hyderabad	Stock Market, Mutual Funds, Beginner Investing	Phone: (637) 991-7113, Website: www.example25.com	business banking, savings, planning, credit cards, budgeting	Women
res_026	Loan Provider	Loan Provider Resource 26	Provides loan provider services for individuals and businesses.	Small businesses	Gachibowli, Hyderabad	Secured Loans, Asset-Based Financing	Phone: (775) 611-1625, Website: www.example26.com	business banking, budgeting, retirement, loans, planning	
res_027	Loan Provider	Loan Provider Resource 27	Provides loan provider services for individuals and businesses.	Small businesses	Manikonda, Hyderabad	Secured Loans, Asset-Based Financing	Phone: (639) 349-3348, Website: www.example27.com	investment, retirement, loans, planning, credit cards	Women
res_028	Financial Workshop	Financial Workshop Resource 28	Provides financial workshop services for individuals and businesses.	Individuals and businesses	Manikonda, Hyderabad	Investment Basics, Retirement Planning, Budgeting	Phone: (199) 869-1472, Website: www.example28.com	budgeting, investment, savings, business banking, planning	
res_029	Financial Workshop	Financial Workshop Resource 29	Provides financial workshop services for individuals and businesses.	Individuals and businesses	Secunderabad	Investment Basics, Retirement Planning, Budgeting	Phone: (477) 347-3230, Website: www.example29.com	budgeting, planning, savings, loans, investment	Technology Companies
res_030	Loan Provider	Loan Provider Resource 30	Provides loan provider services for individuals and businesses.	Individuals	Hyderabad	Personal Loans, Business Loans	Phone: (155) 260-7637, Website: www.example30.com	savings, business banking, credit cards, planning, retirement	Startups
res_031	Loan Provider	Loan Provider Resource 31	Provides loan provider services for individuals and businesses.	Individuals	Online	Secured Loans, Asset-Based Financing	Phone: (264) 759-4689, Website: www.example31.com	loans, investment, budgeting, savings, planning	Startups
res_032	Loan Provider	Loan Provider Resource 32	Provides loan provider services for individuals and businesses.	Individuals	Online	Secured Loans, Asset-Based Financing	Phone: (578) 796-2241, Website: www.example32.com	loans, savings, business banking, planning, retirement	
res_033	Credit Union	Credit Union Resource 33	Provides credit union services for individuals and businesses.	Women	Hyderabad	Savings Accounts, Personal Loans, Auto Loans	Phone: (728) 977-9063, Website: www.example33.com	retirement, investment, savings, loans, business banking	
res_034	Credit Union	Credit Union Resource 34	Provides credit union services for individuals and businesses.	Individuals and businesses	Gachibowli, Hyderabad	Savings Accounts, Personal Loans, Auto Loans	Phone: (245) 326-7843, Website: www.example34.com	planning, loans, credit cards, business banking, retirement	
res_035	Bank	Bank Resource 35	Provides bank services for individuals and businesses.	Individuals	Gachibowli, Hyderabad	Savings Accounts, Business Loans, Mortgages, Wealth Management	Phone: (483) 344-3133, Website: www.example35.com	savings, planning, business banking, retirement, loans	
res_036	Financial Workshop	Financial Workshop Resource 36	Provides financial workshop services for individuals and businesses.	Women	Gachibowli, Hyderabad	Investment Basics, Retirement Planning, Budgeting	Phone: (775) 586-6963, Website: www.example36.com	retirement, credit cards, budgeting, loans, investment	Women
res_037	Loan Provider	Loan Provider Resource 37	Provides loan provider services for individuals and businesses.	Individuals and businesses	Gachibowli, Hyderabad	Personal Loans, Business Loans	Phone: (528) 550-4915, Website: www.example37.com	retirement, savings, planning, investment, credit cards	Startups
res_038	Financial Workshop	Financial Workshop Resource 38	Provides financial workshop services for individuals and businesses.	Individuals and businesses	Manikonda, Hyderabad	Business Finance, Cash Flow Management, Access to Capital	Phone: (904) 622-5822, Website: www.example38.com	retirement, business banking, investment, credit cards, budgeting	Young Professionals
res_039	Bank	Bank Resource 39	Provides bank services for individuals and businesses.	Women	Online	Savings Accounts, Business Loans, Mortgages, Wealth Management	Phone: (225) 829-8180, Website: www.example39.com	investment, budgeting, loans, credit cards, planning	Startups
res_040	Bank	Bank Resource 40	Provides bank services for individuals and businesses.	Individuals	Manikonda, Hyderabad	Checking Accounts, Credit Cards, Agricultural Banking, Wealth Management	Phone: (865) 625-7853, Website: www.example40.com	business banking, savings, retirement, investment, loans	Small Businesses
res_041	Financial Workshop	Financial Workshop Resource 41	Provides financial workshop services for individuals and businesses.	Young professionals	Manikonda, Hyderabad	Investment Basics, Retirement Planning, Budgeting	Phone: (625) 183-8464, Website: www.example41.com	business banking, savings, investment, retirement, loans	Technology Companies
res_042	Financial Workshop	Financial Workshop Resource 42	Provides financial workshop services for individuals and businesses.	Young professionals	Secunderabad	Stock Market, Mutual Funds, Beginner Investing	Phone: (118) 615-4797, Website: www.example42.com	loans, savings, business banking, investment, planning	Young Professionals
res_043	Credit Union	Credit Union Resource 43	Provides credit union services for individuals and businesses.	Young professionals	Hyderabad	Savings Accounts, Home Equity Loans, Financial Planning	Phone: (280) 709-1876, Website: www.example43.com	savings, business banking, investment, planning, retirement	Women
res_044	Bank	Bank Resource 44	Provides bank services for individuals and businesses.	Young professionals	Gachibowli, Hyderabad	Savings Accounts, Business Loans, Mortgages, Wealth Management	Phone: (567) 702-6081, Website: www.example44.com	loans, planning, business banking, budgeting, investment	Young Professionals
res_045	Financial Workshop	Financial Workshop Resource 45	Provides financial workshop services for individuals and businesses.	Women	Secunderabad	Investment Basics, Retirement Planning, Budgeting	Phone: (622) 896-8774, Website: www.example45.com	budgeting, retirement, business banking, loans, investment	Young Professionals
res_046	Financial Workshop	Financial Workshop Resource 46	Provides financial workshop services for individuals and businesses.	Individuals	Online	Investment Basics, Retirement Planning, Budgeting	Phone: (726) 176-7690, Website: www.example46.com	planning, credit cards, investment, loans, retirement	Young Professionals
res_047	Financial Workshop	Financial Workshop Resource 47	Provides financial workshop services for individuals and businesses.	Individuals and businesses	Secunderabad	Investment Basics, Retirement Planning, Budgeting	Phone: (433) 364-6820, Website: www.example47.com	investment, savings, business banking, budgeting, retirement	Technology Companies
res_048	Financial Workshop	Financial Workshop Resource 48	Provides financial workshop services for individuals and businesses.	Young professionals	Manikonda, Hyderabad	Stock Market, Mutual Funds, Beginner Investing	Phone: (938) 222-5792, Website: www.example48.com	credit cards, retirement, investment, budgeting, business banking	Technology Companies
res_049	Bank	Bank Resource 49	Provides bank services for individuals and businesses.	Young professionals	Secunderabad	Checking Accounts, Credit Cards, Agricultural Banking, Wealth Management	Phone: (915) 181-8737, Website: www.example49.com	loans, business banking, budgeting, credit cards, planning	
res_050	Financial Workshop	Financial Workshop Resource 50	Provides financial workshop services for individuals and businesses.	Small businesses	Online	Investment Basics, Retirement Planning, Budgeting	Phone: (787) 840-1321, Website: www.example50.com	business banking, savings, budgeting, credit cards, loans	
